# alphabio_phy abioa_phy bbioa_phy abioa_dia bbioh phykf phymaxqc phylmor diamaxqs diaVmaxs dialmor overflow zooCingest zooCassim zooeps zprefdia zoolmor mesCassim meseps mprefphy meslmor mesqmor mespreyswitch detqrem ldetphi phyrad0 diarad0 zoorad0 phybiot diabiot dfefloor kscav_dfe kcoag_dfe bsi_alpha aoalmor pbac_alpha lbac_alpha lbac_beta baclmor bacqmor
3.2335922295 0.0000165889 1.0704749211 0.0000101462 1.0627162216 0.5305161501 0.0232306499 -1.8761516027 0.6593415462 0.0000020696 -1.3782500820 0.8288879490 0.7995762597 0.5461710849 0.0000029116 0.4121073642 -2.7845036178 0.5431650911 0.0000020368 0.8624773960 -3.9119577519 0.0000011269 2.2322509429 0.0000036799 0.8574034928 8.7354993802 115.3500617552 22.6695246808 1.3089060066 1.0331650542 0.0401795387 -3.7287656594 -8.2765072599 -8.8668633575 -1.7232301600 0.2534790084 0.2451251541 0.5260354244 -2.4050788646 0.0000002410
3.7023125646 0.0000163748 1.0702573789 0.0000105609 1.0634567823 0.4878090101 0.0246605424 -1.7397586058 0.8037276788 0.0000026110 -1.2405648886 0.6368626634 0.8713236944 0.5375831937 0.0000045070 0.7146710384 -2.5513789184 0.4746571306 0.0000018720 0.7121980596 -3.9330488192 0.0000008620 1.8480430180 0.0000020280 0.8841440164 11.2325636330 100.4906776837 33.4172552899 1.7909948035 0.6004448306 0.0393609886 -2.7643767211 -6.8075656788 -9.3417522592 -1.6601018079 0.8133614653 0.3396177468 0.5115082358 -2.4203468273 0.0000004648
3.4829442876 0.0000154227 1.0587909894 0.0000126986 1.0770591634 0.4073227084 0.0200093007 -1.8681975254 0.8026203305 0.0000035775 -1.3105415016 0.7436109472 0.7580421993 0.5021160731 0.0000041332 0.6278306125 -2.4810070147 0.5282956970 0.0000020189 0.8615155777 -3.6701022372 0.0000009246 2.4885316261 0.0000029660 0.8556748074 8.4031114616 154.0237094660 24.1498196443 1.5541952800 1.1577217171 0.0211817506 -3.3331088297 -7.3194566504 -9.1076553603 -1.6363996472 0.1419568313 0.2903739118 0.2390231600 -2.4600648549 0.0000005380
3.6178144060 0.0000167806 1.0735825848 0.0000129542 1.0707084824 0.8404542528 0.0177105303 -1.7836393943 0.7010294512 0.0000021052 -1.1847474716 0.6440645707 0.7779261388 0.5325909873 0.0000028887 0.5933359020 -2.6253657784 0.4542384431 0.0000021315 0.6640037377 -3.9609935185 0.0000007163 2.0090105723 0.0000023983 0.9284480746 12.8722792212 146.8352236853 20.5588740482 1.7633821251 1.1902546695 0.0381950216 -3.0296905054 -6.2974941656 -9.4947426006 -1.7659745067 0.5996799768 0.2714573534 0.4467939551 -2.6057678794 0.0000002916
3.3070028853 0.0000166269 1.0558325640 0.0000091738 1.0660304438 0.3343891379 0.0163868560 -2.1937223371 0.8217534932 0.0000039568 -1.1936031524 0.7631723185 0.7699272243 0.4709501351 0.0000028291 0.4046006994 -2.9752173730 0.5025188026 0.0000020134 0.8243477849 -3.8309624105 0.0000010128 2.1289446027 0.0000020697 0.8409441386 8.3190134049 112.3625912143 32.2069923132 1.7515467829 1.0399393826 0.0272525827 -3.4945687423 -7.1813975984 -8.2711509158 -1.5672417866 0.3790754426 0.3523088017 0.4738447464 -2.6136886224 0.0000004443
3.0631697220 0.0000166686 1.0631004130 0.0000109330 1.0743743527 0.2513765887 0.0194603850 -1.8971701827 0.6439294171 0.0000029071 -1.1594921976 0.4987167716 0.6856749467 0.5022900309 0.0000039237 0.5988670614 -2.5162236677 0.4924454611 0.0000020530 0.8118923666 -3.8361338967 0.0000007571 2.5107588256 0.0000019924 0.7075104599 9.2952866616 115.1959935886 26.9246141736 1.5084966965 1.2648613893 0.0246684472 -3.5972482165 -7.7973413607 -9.4769965251 -1.7087250046 0.7981012350 0.1175150504 0.5674694963 -2.3795347440 0.0000003225
3.4085723298 0.0000151662 1.0605475362 0.0000110154 1.0740870316 0.5441052172 0.0168821131 -2.0150443625 0.4966053944 0.0000036481 -1.2433984102 0.5138340120 0.7218364979 0.4578317059 0.0000035125 0.7734753145 -2.7821398126 0.5394338887 0.0000018944 0.8234273343 -3.9150755570 0.0000011079 2.3552976743 0.0000016911 0.7984801501 11.0472776243 110.3663223805 14.0019616642 1.6527917616 0.8684342992 0.0284446011 -3.1282783238 -7.2978164287 -9.2037170078 -1.5036003057 0.4494185573 0.3016855382 0.2998806584 -2.6920779340 0.0000004443
2.7743880898 0.0000151353 1.0719593212 0.0000094029 1.0702950440 0.6948650701 0.0200503574 -2.0159014764 0.7533692613 0.0000026971 -1.3949985166 0.7665100625 0.7763985640 0.5426469607 0.0000039791 0.2784582367 -3.2187880968 0.5547428315 0.0000017523 0.7742955958 -3.8637183571 0.0000006931 1.7365717474 0.0000026065 0.8544111308 10.9036670792 75.2117586634 40.4051680828 1.8456584039 0.7722170152 0.0411066826 -2.8671262267 -7.6995676124 -8.6523572136 -1.7099789969 0.1934381956 0.3107849376 0.5965773904 -2.4513864294 0.0000005092
3.6212686887 0.0000169810 1.0620675364 0.0000083552 1.0710422259 0.1888121446 0.0217821545 -1.8260814911 0.9096890916 0.0000027717 -1.1328742766 0.7755255381 0.6702112539 0.5380203513 0.0000037527 0.4288359607 -2.8419228822 0.4551885809 0.0000018678 0.8917991175 -3.9515569614 0.0000015374 1.6649852345 0.0000023492 0.8614103384 11.7669652065 104.3670327538 19.2848981807 1.7409855876 0.9116396685 0.0399491364 -3.5533620824 -6.5294762495 -9.3521415097 -1.7527547215 0.1928409658 0.1831631212 0.3958695232 -2.4293327059 0.0000008325
3.4730994932 0.0000159769 1.0738105280 0.0000076930 1.0679133713 0.3937322428 0.0140918859 -1.7464804255 0.5453298778 0.0000031372 -1.2076356725 0.5953333993 0.8531664018 0.5484886921 0.0000046567 0.3802945483 -2.8008814351 0.5601381758 0.0000021748 0.9267094491 -3.7773379242 0.0000011130 2.3385052347 0.0000025104 0.8634292370 10.5345568659 88.3066516149 24.6330010488 1.3436325152 0.9585967700 0.0436848872 -3.2627891540 -6.9339497157 -9.3327763388 -1.2332890539 0.5219516948 0.1626581321 0.2399457299 -2.3547631058 0.0000003903
3.5709291822 0.0000157295 1.0703435869 0.0000111606 1.0645429355 0.7504712233 0.0123531316 -1.9456649863 0.6418711223 0.0000045361 -1.1228085697 0.6080914141 0.6912177570 0.5448748239 0.0000035218 0.4601920075 -2.8473816987 0.5610093721 0.0000020219 0.9108495293 -3.9218216076 0.0000007549 2.1746209352 0.0000018461 0.8892240566 15.3105351060 85.7580893542 25.2907227028 1.6542148848 1.1721423999 0.0447656920 -3.2517660255 -7.4556142068 -8.7281134359 -1.4908576625 0.8347913602 0.1676745521 0.2459319721 -2.6722110358 0.0000005019
3.2161795668 0.0000161836 1.0562832762 0.0000099097 1.0707961575 0.6018297879 0.0157526120 -2.0389410174 0.7401992154 0.0000027508 -1.3297126055 0.6360767432 0.7123805911 0.5593435052 0.0000041089 0.6167242100 -2.4621833249 0.5083233563 0.0000018404 0.8777218062 -3.9283072890 0.0000006604 2.0458400299 0.0000041083 0.8080531486 14.1262261828 121.8448042546 27.3087218721 1.5717061517 1.3230239371 0.0423516244 -3.5305160906 -7.1906343837 -9.3273428242 -1.2813446135 0.8195483450 0.1633580681 0.2960239229 -2.4205425038 0.0000004583
3.7578910682 0.0000165313 1.0536415493 0.0000129745 1.0681423664 0.9550298324 0.0263926277 -2.0486090506 0.8137610984 0.0000028565 -1.4217085571 0.6260272366 0.8136863461 0.4635823803 0.0000029500 0.4946652036 -2.5066409923 0.5431800436 0.0000019408 0.8547098576 -3.8995967747 0.0000008476 2.4078600660 0.0000028553 0.8816701150 14.6597291946 85.2798360952 33.7088052545 1.7585656987 1.1941866816 0.0276833552 -3.0814030220 -6.9710152436 -9.7435464390 -1.5725294852 0.4285229842 0.2478791106 0.3324102097 -2.8738839742 0.0000003221
3.6708440684 0.0000170246 1.0571251362 0.0000098215 1.0714382543 0.4431389660 0.0212887135 -2.0735108964 0.5832108049 0.0000030801 -1.2566234385 0.5496971999 0.6819890542 0.5535086976 0.0000047831 0.5340768220 -2.5554953481 0.5159295131 0.0000021090 0.6357725209 -3.6894523420 0.0000007384 2.0996541564 0.0000038633 0.8876459524 12.0022809134 85.8317413608 11.4865802852 1.7454083735 0.7407755734 0.0420584673 -3.6074544603 -6.7578950716 -9.1885555392 -1.8380778552 0.4930205691 0.1441950103 0.4085145469 -2.8357515792 0.0000002926
3.5858507329 0.0000156891 1.0696247994 0.0000128282 1.0734217233 0.5305489705 0.0153285351 -2.0826791793 0.7060897744 0.0000035563 -1.1797434217 0.7531543541 0.8435924754 0.5113572009 0.0000049182 0.4228933352 -2.9841340647 0.4787526385 0.0000020421 0.9004819589 -3.7460150271 0.0000007763 2.3939598537 0.0000016405 0.8376778047 12.0483840104 117.1575671998 38.8850086369 1.2202657060 0.9242569209 0.0413547132 -3.1622469919 -8.0048388011 -9.6917677087 -1.5335779024 0.2792926598 0.2905605175 0.5174297071 -2.6044143088 0.0000008748
