# alphabio_phy abioa_phy bbioa_phy abioa_dia bbioh phykf phymaxqc phylmor diamaxqs diaVmaxs dialmor overflow zooCingest zooCassim zooeps zprefdia zoolmor mesCassim meseps mprefphy meslmor mesqmor mespreyswitch detqrem ldetphi phyrad0 diarad0 zoorad0 phybiot diabiot dfefloor kscav_dfe kcoag_dfe bsi_alpha aoalmor pbac_alpha lbac_alpha lbac_beta baclmor bacqmor
0.6603726363 0.9516374148 0.7694485722 0.3011091161 0.4077832291 0.3145887951 0.1937597010 0.6321506809 0.8109587633 0.4350891248 0.9074205599 0.7107949793 0.6451084084 0.5341998704 0.6521890231 0.4695600072 0.5646273226 0.6718263820 0.9275533955 0.8528525718 0.0755028042 0.0119257334 0.7537630679 0.0554186584 0.8073076396 0.4096562721 0.6342054563 0.4313669265 0.7610158570 0.7972216172 0.6308334376 0.1844635078 0.2867508811 0.5072197351 0.7726831998 0.4797010548 0.1758424344 0.2492927910 0.5110681668 0.0706907963
0.9002078113 0.8666281241 0.7754752595 0.1736202681 0.4446749829 0.1151034773 0.1302651030 0.6021647782 0.3658772123 0.4183305941 0.9681365331 0.6432478605 0.6512832128 0.7231078394 0.5358959253 0.7221059310 0.3844152324 0.6402919696 0.9202718830 0.8672228464 0.0629454298 0.0786174483 0.5928145257 0.1729574195 0.7676643583 0.3367685096 0.6252937111 0.6747405770 0.9298555640 0.3786717303 0.7638469258 0.4550713029 0.5966187861 0.3708683500 0.8486385165 0.5728729505 0.4095520842 0.2334600330 0.4696690050 0.1189544513
0.8104050001 0.9466888449 0.6523701026 0.2150496171 0.4599355340 0.0390806445 0.1380160993 0.6622522248 0.7093856536 0.5106111915 0.9872295076 0.7860488949 0.6687498153 0.7989002811 0.6434681802 0.2773733609 0.2748724688 0.8314788970 0.8569663695 0.8470662465 0.0431249181 0.0102307384 0.7167295643 0.0590008056 0.8160630124 0.3650308063 0.4479507181 0.5075978590 0.8826933327 0.4087111806 0.7893850655 0.2092467203 0.4180988675 0.5408905350 0.8220654073 0.3043272315 0.2148138238 0.3716364860 0.4461590227 0.0358534871
0.7359495196 0.9663474027 0.7531752806 0.3244412048 0.6228805149 0.1667139117 0.2716767551 0.6848092514 0.5157527086 0.5333243891 0.9816792509 0.5330742303 0.3119360685 0.7351094456 0.7587352634 0.2172452164 0.3748188675 0.7349219686 0.8581348683 0.6410730954 0.0508625752 0.0330597512 0.6587978297 0.0451520406 0.6167369954 0.4909996441 0.4032164871 0.4331077895 0.9318459617 0.3794732999 0.6193160159 0.1954334620 0.1778661113 0.5006760652 0.8435280580 0.4676304095 0.3053772163 0.1992575442 0.4215957298 0.0507706820
0.8131701114 0.8485909136 0.3579847294 0.1813770345 0.6300980846 0.2763403190 0.2703606441 0.5882212811 0.7609439560 0.4714467497 0.9450552564 0.6618270518 0.8073091481 0.7135550275 0.6738918569 0.6014000013 0.4089434122 0.8832733955 0.7471541405 0.8434477379 0.0507630032 0.0639760573 0.6665940134 0.1704275080 0.7680671505 0.6996048696 0.4953549511 0.6734513488 0.7083096676 0.3886661069 0.6497214484 0.3070693833 0.3401406474 0.1947991110 0.8338414253 0.4146604201 0.2222603831 0.3515958953 0.5433908802 0.1331951869
0.5478114082 0.9363128746 0.5585077047 0.4297325834 0.3572553766 0.0763953192 0.2192829221 0.6534632593 0.7080028477 0.2079546753 0.9478258565 0.7421349184 0.6338631340 0.7734031449 0.6193933830 0.6234623052 0.4050755788 0.9010679012 0.9405718658 0.7681624811 0.0113588416 0.0103631767 0.4600725411 0.1260352842 0.5606230283 0.5000144862 0.6380754891 0.6183846975 0.9437845501 0.5054165560 0.6110806637 0.1657942062 0.2468988487 0.6739883423 0.8454278757 0.5783911971 0.4199818569 0.6768947677 0.4606449072 0.0722877421
0.9132623393 0.8370960317 0.7101252974 0.2613005257 0.7632243960 0.1036176898 0.0784555307 0.6983288569 0.7713086963 0.3572199452 0.9235000387 0.8026527257 0.7037641298 0.6770672543 0.5761322808 0.6758987664 0.4448400286 0.7596428905 0.7774145735 0.7964519871 0.0501580163 0.0077196176 0.7205321325 0.1128948591 0.6694625836 0.2331369962 0.6082744886 0.4087392907 0.8655331434 0.3745273878 0.8761917431 0.1813572630 0.2236724566 0.1266557645 0.8946158636 0.3085909989 0.2998113784 0.4126243120 0.5258412343 0.0575883028
0.7812817497 0.9505168712 0.5287024473 0.2974874940 0.2964935317 0.0963640349 0.1498601318 0.6920802189 0.4929629802 0.4149328488 0.9695641684 0.6405730986 0.5575270381 0.7923081570 0.4771697210 0.2348393751 0.5368165911 0.8592972166 0.8866023843 0.8829694011 0.0944001742 0.0081247057 0.7912288585 0.0230007390 0.7973162168 0.2129751870 0.5984642924 0.5452284184 0.8795379472 0.4452990625 0.5807057791 0.1527374718 0.3793078571 0.3947303194 0.8203969876 0.3728993831 0.2502484610 0.5592987164 0.4701339092 0.0598132819
0.8630082417 0.8334026288 0.5302076741 0.3273900830 0.7176790368 0.0323231677 0.2276212108 0.7048109443 0.6333955376 0.2695226114 0.9688079580 0.7069741466 0.3033224363 0.8354324604 0.5499539676 0.6328114104 0.3893427234 0.7306717526 0.8994528248 0.8436166149 0.0726924629 0.0355411304 0.4984159918 0.0323716887 0.7682749046 0.3697500743 0.6611183099 0.4438093535 0.9357632713 0.5465221278 0.5764373738 0.0994783556 0.3556343686 0.4984112449 0.7337448155 0.5960927530 0.1505348923 0.2603798962 0.3688444996 0.0576035805
0.6065015856 0.9746300209 0.8178320452 0.3341438942 0.2792389651 0.1516199873 0.1082800643 0.6494881070 0.7210187190 0.1677108333 0.9752133811 0.4832070141 0.6079364390 0.8040456258 0.4095276845 0.4471201442 0.4440256578 0.7846410966 0.8276220341 0.6864441257 0.0845475537 0.0607120574 0.6139750801 0.1047354555 0.5819397991 0.6756939788 0.4618252534 0.1183475126 0.7983669649 0.6377316504 0.6966587182 0.2915373829 0.4323384594 0.2893242319 0.7775739252 0.3235884575 0.4201067034 0.3265627717 0.4701658279 0.1331933268
